@RELATION power-spectrum

@ATTRIBUTE alpha_Ch1 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE beta_Ch1 NUMERIC
@ATTRIBUTE beta_Ch2 NUMERIC
@ATTRIBUTE beta_Ch3 NUMERIC
@ATTRIBUTE beta_Ch4 NUMERIC
@ATTRIBUTE delta_Ch1 NUMERIC
@ATTRIBUTE delta_Ch2 NUMERIC
@ATTRIBUTE delta_Ch3 NUMERIC
@ATTRIBUTE delta_Ch4 NUMERIC
@ATTRIBUTE gamma_Ch1 NUMERIC
@ATTRIBUTE gamma_Ch2 NUMERIC
@ATTRIBUTE gamma_Ch3 NUMERIC
@ATTRIBUTE gamma_Ch3 NUMERIC
@ATTRIBUTE theta_Ch1 NUMERIC
@ATTRIBUTE theta_Ch2 NUMERIC
@ATTRIBUTE theta_Ch3 NUMERIC
@ATTRIBUTE theta_Ch4 NUMERIC
@ATTRIBUTE class {close, open}

@DATA

0.23648268, 0.27039003, 0.44702074, 0.44295776, 0.8454814, 0.8578439, 0.7749317, 0.93439806, 0.3625348, 0.61067045, 1.5751892, 0.31803763, 0.9414812, 0.94515616, 0.33786395, 0.9347854, 0.53956395, 0.4025013, 0.82970846, 0.07145066, close
0.23648268, 0.27039003, 0.44702074, 0.44295776, 0.8454814, 0.8578439, 0.7749317, 0.93439806, 0.3625348, 0.61067045, 1.5751892, 0.31803763, 0.9414812, 0.94515616, 0.33786395, 0.9347854, 0.53956395, 0.4025013, 0.82970846, 0.07145066, close
0.23648268, 0.27039003, 0.44702074, 0.44295776, 0.8454814, 0.8578439, 0.7749317, 0.93439806, 0.3625348, 0.61067045, 1.5751892, 0.31803763, 0.9414812, 0.94515616, 0.33786395, 0.9347854, 0.53956395, 0.4025013, 0.82970846, 0.07145066, close
0.23648268, 0.27039003, 0.44702074, 0.44295776, 0.8454814, 0.8578439, 0.7749317, 0.93439806, 0.3625348, 0.61067045, 1.5751892, 0.31803763, 0.9414812, 0.94515616, 0.33786395, 0.9347854, 0.53956395, 0.4025013, 0.82970846, 0.07145066, close
0.23648268, 0.27039003, 0.44702074, 0.44295776, 0.8454814, 0.8578439, 0.7749317, 0.93439806, 0.3625348, 0.61067045, 1.5751892, 0.31803763, 0.9414812, 0.94515616, 0.33786395, 0.9347854, 0.53956395, 0.4025013, 0.82970846, 0.07145066, close
0.23648268, 0.27039003, 0.44702074, 0.44295776, 0.8454814, 0.8578439, 0.7749317, 0.93439806, 0.3625348, 0.61067045, 1.5751892, 0.31803763, 0.9414812, 0.94515616, 0.33786395, 0.9347854, 0.53956395, 0.4025013, 0.82970846, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.1406256, 0.93439806, 0.3625348, 0.61067045, 1.4637561, 0.31803763, 0.9414812, 0.94515616, 1.78451, 0.9347854, 0.53956395, 0.4025013, 0.8527253, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.0898165, 0.93439806, 0.3625348, 0.61067045, 1.4107122, 0.31803763, 0.9414812, 0.94515616, 1.7330979, 0.9347854, 0.53956395, 0.4025013, 0.8344954, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.0416813, 0.93439806, 0.3625348, 0.61067045, 1.4073592, 0.31803763, 0.9414812, 0.94515616, 1.6793616, 0.9347854, 0.53956395, 0.4025013, 0.8644439, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.0416813, 0.93439806, 0.3625348, 0.61067045, 1.4073592, 0.31803763, 0.9414812, 0.94515616, 1.6793616, 0.9347854, 0.53956395, 0.4025013, 0.8644439, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.0416813, 0.93439806, 0.3625348, 0.61067045, 1.4073592, 0.31803763, 0.9414812, 0.94515616, 1.6793616, 0.9347854, 0.53956395, 0.4025013, 0.8644439, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.0416813, 0.93439806, 0.3625348, 0.61067045, 1.4073592, 0.31803763, 0.9414812, 0.94515616, 1.6793616, 0.9347854, 0.53956395, 0.4025013, 0.8644439, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.0416813, 0.93439806, 0.3625348, 0.61067045, 1.4073592, 0.31803763, 0.9414812, 0.94515616, 1.6793616, 0.9347854, 0.53956395, 0.4025013, 0.8644439, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.0416813, 0.93439806, 0.3625348, 0.61067045, 1.4073592, 0.31803763, 0.9414812, 0.94515616, 1.6793616, 0.9347854, 0.53956395, 0.4025013, 0.8644439, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.0416813, 0.93439806, 0.3625348, 0.61067045, 1.4073592, 0.31803763, 0.9414812, 0.94515616, 1.6793616, 0.9347854, 0.53956395, 0.4025013, 0.8644439, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.0416813, 0.93439806, 0.3625348, 0.61067045, 1.4073592, 0.31803763, 0.9414812, 0.94515616, 1.6793616, 0.9347854, 0.53956395, 0.4025013, 0.8644439, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.0416813, 0.93439806, 0.3625348, 0.61067045, 1.4073592, 0.31803763, 0.9414812, 0.94515616, 1.6793616, 0.9347854, 0.53956395, 0.4025013, 0.8644439, 0.07145066, close
0.23648268, 0.27039003, 1.0263902, 0.44295776, 0.8454814, 0.8578439, 1.0416813, 0.93439806, 0.3625348, 0.61067045, 1.4073592, 0.31803763, 0.9414812, 0.94515616, 1.6793616, 0.9347854, 0.53956395, 0.4025013, 0.8644439, 0.07145066, close
